timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame
815:36,7,4,20,57,51,20,0,1,03:20,780:36,20,0.0,7.0,1,0,0,0,31:40,60,5,11,1068,15:59,15:18,00:37,00:03
134:35,1,2,0,14,13,16,0,0,06:22,120:52,0,51.78,14.3,0,0,0,0,07:21,5,1,3,195,10:21,09:17,00:33,00:29
1560:30,21,15,33,185,65,112,3,8,140:51,1209:39,33,0.0,8.1,2,0,0,0,210:00,114,8,36,1720,24:00,18:36,03:13,02:10
1678:52,29,11,26,158,71,177,3,12,170:41,1360:02,26,0.0,7.0,3,2,1,1,148:09,79,-10,40,1825,23:38,19:09,02:05,02:24
55:40,0,0,0,4,4,1,0,0,00:00,52:57,0,0.0,0.0,0,0,0,0,02:43,4,-1,0,77,13:55,13:14,00:40,00:00
415:28,6,4,4,29,29,42,0,0,04:53,357:43,4,16.66,13.8,0,0,1,1,52:52,18,5,10,610,14:19,12:20,01:49,00:10
213:08,4,1,16,15,23,70,0,0,01:10,204:38,16,0.0,6.7,0,0,0,0,07:20,10,1,5,328,09:16,08:53,00:19,00:03
1108:00,39,22,36,162,68,79,8,14,148:38,957:27,36,36.0,13.6,1,0,0,0,01:55,24,5,61,1512,16:17,14:04,00:01,02:11
1596:13,12,9,61,130,69,152,0,0,18:36,1367:13,61,0.0,6.9,3,2,0,0,210:24,128,5,21,1740,23:08,19:48,03:02,00:16
667:03,7,8,14,86,49,32,2,5,95:19,570:15,14,49.74,9.3,2,0,0,0,01:29,21,-8,15,865,13:36,11:38,00:01,01:56
997:43,21,22,29,226,59,53,1,5,121:06,875:09,29,41.37,9.7,1,0,0,0,01:28,29,9,43,1315,16:54,14:49,00:01,02:03
166:46,2,0,4,8,12,24,0,0,00:00,155:25,4,0.0,0.0,0,0,0,0,11:21,15,0,2,214,13:53,12:57,00:56,00:00
999:07,14,16,28,155,58,146,3,4,116:59,788:32,28,36.36,10.3,2,0,3,4,93:36,25,2,30,1314,17:13,13:35,01:36,02:01
1337:56,34,13,32,131,71,119,1,4,111:03,1048:41,32,54.49,9.9,1,0,0,0,178:12,37,18,47,1814,18:50,14:46,02:30,01:33
173:07,1,1,0,22,15,25,0,0,15:53,157:14,0,25.0,4.5,1,0,0,0,00:00,2,-9,2,227,11:32,10:28,00:00,01:03
959:49,7,0,12,101,56,59,0,0,03:06,944:41,12,0.0,0.0,0,0,0,0,12:02,50,-1,7,1091,17:08,16:52,00:12,00:03
1079:57,14,13,24,140,70,120,0,0,12:40,898:07,24,46.15,9.3,1,0,1,1,169:10,38,2,27,1522,15:25,12:49,02:25,00:10
423:56,8,7,14,51,27,25,1,4,64:54,358:35,14,33.33,13.7,1,0,0,0,00:27,5,-6,15,543,15:42,13:16,00:01,02:24
1213:55,27,17,35,179,71,32,1,11,164:50,1047:41,35,48.85,9.5,3,2,0,0,01:24,13,-3,44,1518,17:05,14:45,00:01,02:19
230:56,1,1,13,13,16,38,0,0,00:05,221:55,13,0.0,7.7,0,0,0,0,08:56,21,-1,2,299,14:26,13:52,00:33,00:00
1135:16,28,13,6,138,71,64,6,14,154:11,960:02,6,46.28,9.4,1,0,0,0,21:03,32,-15,41,1416,15:59,13:31,00:17,02:10
1323:38,11,1,12,43,64,51,0,0,17:47,1099:41,12,0.0,2.3,1,0,0,3,206:10,102,10,12,1713,20:40,17:10,03:13,00:16
324:25,3,5,22,43,24,41,0,0,59:32,264:45,22,60.0,11.6,0,0,0,0,00:08,13,3,8,471,13:31,11:01,00:00,02:28
678:35,5,15,8,87,49,6,5,6,77:00,590:00,8,50.0,17.2,1,1,0,0,11:35,25,-15,20,912,13:50,12:02,00:14,01:34
